ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11703;6,23625E+12;6236246050248;V002-TMT;Zahnriemen HTD3M-10-537;;4,12;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11702;6,23506E+12;6235056533057;V002-TMT;Zahnriemen HTD3M-15-531;;4,88;Y;0;0;1;20;90;80;15;Y;Y;N;0,02;9;8;1,5;4010390090
11701;6,23714E+12;6237136058757;V002-TMT;Zahnriemen HTD3M-10-531;;4,12;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11700;6,23939E+12;6239385916673;V002-TMT;Zahnriemen HTD3M-10-528;;4,57;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11699;6,23615E+12;6236152615333;V002-TMT;Zahnriemen HTD3M-10-525;;4,57;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11698;6,2352E+12;6235195516669;V002-TMT;Zahnriemen HTD3M-15-522;;4,88;Y;0;0;1;20;90;80;15;Y;Y;N;0,02;9;8;1,5;4010390090
11697;6,23607E+12;6236072758783;V002-TMT;Zahnriemen HTD3M-10-522;;3,97;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11696;6,23175E+12;6231747369639;V002-TMT;Zahnriemen HTD3M-10-519;;4,48;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11695;6,23404E+12;6234036999791;V002-TMT;Zahnriemen HTD3M-10-516;;4,43;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11694;6,23049E+12;6230488712988;V002-TMT;Zahnriemen HTD3M-10-513;;4,79;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11693;6,23567E+12;6235674496093;V002-TMT;Zahnriemen HTD3M-10-510;;3,88;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11692;6,23542E+12;6235418857715;V002-TMT;Zahnriemen HTD3M-10-507;;4,43;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11691;6,2322E+12;6232196514618;V002-TMT;Zahnriemen HTD3M-10-504;;4,43;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11690;6,2321E+12;6232100350097;V002-TMT;Zahnriemen HTD3M-10-501;;3,88;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11689;6,23092E+12;6230923619919;V002-TMT;Zahnriemen HTD3M-15-498;;4,93;Y;0;0;1;20;90;80;15;Y;Y;N;0,02;9;8;1,5;4010390090
